t	x	y	pressure	penup	azimuth	inclination	v_x	v_y
0.000000	19.850000	16.750000	70.000000	1.000000	171.000000	44.000000	0.000000	0.000000
0.010000	19.850000	16.750000	195.000000	0.000000	171.000000	44.000000	0.000000	0.000000
0.020000	19.850000	16.750000	309.000000	0.000000	171.000000	45.000000	0.000000	0.000000
0.030000	19.850000	16.750000	412.000000	0.000000	171.000000	45.000000	0.000000	0.000000
0.040000	19.850000	16.750000	467.000000	0.000000	171.000000	45.000000	0.000000	0.000000
0.050000	19.850000	16.750000	520.000000	0.000000	170.000000	45.000000	0.000000	0.000000
0.060000	19.740000	16.440000	578.000000	0.000000	170.000000	45.000000	-11.000000	-31.000000
0.070000	19.900000	16.170000	610.000000	0.000000	171.000000	45.000000	16.000000	-27.000000
0.080000	20.120000	15.790000	673.000000	0.000000	171.000000	45.000000	22.000000	-38.000000
0.090000	20.440000	15.300000	725.000000	0.000000	171.000000	46.000000	32.000000	-49.000000
0.100000	20.830000	14.680000	749.000000	0.000000	172.000000	46.000000	39.000000	-62.000000
0.110000	21.220000	13.980000	760.000000	0.000000	171.000000	47.000000	39.000000	-70.000000
0.120000	21.610000	13.090000	788.000000	0.000000	172.000000	48.000000	39.000000	-89.000000
0.130000	21.820000	12.190000	785.000000	0.000000	172.000000	49.000000	21.000000	-90.000000
0.140000	21.980000	11.280000	803.000000	0.000000	173.000000	50.000000	16.000000	-91.000000
0.150000	22.100000	10.620000	823.000000	0.000000	173.000000	51.000000	12.000000	-66.000000
0.160000	22.220000	10.030000	822.000000	0.000000	174.000000	52.000000	12.000000	-59.000000
0.170000	22.270000	9.480000	836.000000	0.000000	173.000000	53.000000	5.000000	-55.000000
0.180000	22.270000	8.870000	845.000000	0.000000	173.000000	54.000000	0.000000	-61.000000
0.190000	22.120000	8.350000	855.000000	0.000000	173.000000	54.000000	-15.000000	-52.000000
0.200000	21.760000	7.880000	858.000000	0.000000	173.000000	54.000000	-36.000000	-47.000000
0.210000	21.260000	7.440000	873.000000	0.000000	173.000000	54.000000	-50.000000	-44.000000
0.220000	20.530000	7.070000	890.000000	0.000000	173.000000	53.000000	-73.000000	-37.000000
0.230000	19.610000	6.750000	893.000000	0.000000	173.000000	53.000000	-92.000000	-32.000000
0.240000	18.550000	6.640000	890.000000	0.000000	172.000000	52.000000	-106.000000	-11.000000
0.250000	17.310000	6.640000	887.000000	0.000000	173.000000	51.000000	-124.000000	0.000000
0.260000	16.110000	6.830000	879.000000	0.000000	173.000000	51.000000	-120.000000	19.000000
0.270000	14.930000	7.130000	861.000000	0.000000	175.000000	50.000000	-118.000000	30.000000
0.280000	14.050000	7.600000	861.000000	0.000000	178.000000	49.000000	-88.000000	47.000000
0.290000	13.450000	8.190000	860.000000	0.000000	180.000000	48.000000	-60.000000	59.000000
0.300000	13.030000	8.600000	863.000000	0.000000	182.000000	48.000000	-42.000000	41.000000
0.310000	12.910000	8.820000	837.000000	0.000000	184.000000	48.000000	-12.000000	22.000000
