t	x	y	pressure	penup	azimuth	inclination	v_x	v_y
37.790000	976.000000	1.000000	81.000000	62.000000	0.000000	0.000000	0.000000	0.000000
36.920000	817.000000	0.000000	83.000000	62.000000	161.000000	-87.000000	182.758621	1.149425
37.730000	783.000000	0.000000	84.000000	62.000000	69.000000	81.000000	-41.975309	0.000000
38.920000	808.000000	0.000000	86.000000	62.000000	70.000000	119.000000	21.008403	0.000000
41.270000	799.000000	0.000000	90.000000	61.000000	129.000000	235.000000	-3.829787	0.000000
44.110000	800.000000	0.000000	90.000000	61.000000	162.000000	284.000000	0.352113	0.000000
47.290000	806.000000	0.000000	93.000000	60.000000	184.000000	318.000000	1.886792	0.000000
50.510000	821.000000	0.000000	95.000000	59.000000	154.000000	322.000000	4.658385	0.000000
52.660000	826.000000	0.000000	98.000000	59.000000	58.000000	215.000000	2.325581	0.000000
54.090000	817.000000	0.000000	101.000000	58.000000	-6.000000	143.000000	-6.293706	0.000000
55.100000	846.000000	0.000000	104.000000	57.000000	-114.000000	101.000000	28.712871	0.000000
55.180000	881.000000	0.000000	106.000000	57.000000	-153.000000	8.000000	437.500000	0.000000
54.640000	892.000000	0.000000	107.000000	57.000000	-179.000000	-54.000000	-20.370370	-0.000000
52.680000	921.000000	0.000000	109.000000	57.000000	-176.000000	-196.000000	-14.795918	-0.000000
49.970000	942.000000	0.000000	110.000000	56.000000	-144.000000	-271.000000	-7.749077	-0.000000
46.770000	940.000000	0.000000	110.000000	55.000000	-122.000000	-320.000000	0.625000	-0.000000
43.800000	956.000000	0.000000	108.000000	56.000000	-30.000000	-297.000000	-5.387205	-0.000000
41.950000	959.000000	0.000000	107.000000	55.000000	69.000000	-185.000000	-1.621622	-0.000000
40.840000	983.000000	0.000000	106.000000	55.000000	134.000000	-111.000000	-21.621622	-0.000000
40.960000	982.000000	0.000000	105.000000	55.000000	183.000000	12.000000	-8.333333	0.000000
42.200000	1008.000000	0.000000	103.000000	54.000000	221.000000	124.000000	20.967742	0.000000
44.200000	1006.000000	0.000000	102.000000	55.000000	247.000000	200.000000	-1.000000	0.000000
46.360000	1015.000000	0.000000	100.000000	56.000000	205.000000	216.000000	4.166667	0.000000
48.310000	1018.000000	0.000000	101.000000	57.000000	114.000000	195.000000	1.538462	0.000000
50.110000	1017.000000	0.000000	101.000000	58.000000	53.000000	180.000000	-0.555556	0.000000
51.110000	1014.000000	0.000000	103.000000	57.000000	-48.000000	100.000000	-3.000000	0.000000
51.510000	1023.000000	0.000000	103.000000	57.000000	-123.000000	40.000000	22.500000	0.000000
51.510000	1023.000000	0.000000	104.000000	57.000000	-174.000000	0.000000	0.000000	0.000000
50.060000	1023.000000	0.000000	106.000000	57.000000	-162.000000	-145.000000	-0.000000	-0.000000
47.660000	1023.000000	0.000000	107.000000	57.000000	-162.000000	-240.000000	-0.000000	-0.000000
44.610000	1023.000000	0.000000	107.000000	57.000000	-87.000000	-305.000000	-0.000000	-0.000000
41.760000	1023.000000	0.000000	107.000000	57.000000	-37.000000	-285.000000	-0.000000	-0.000000
40.120000	1023.000000	0.000000	107.000000	57.000000	35.000000	-164.000000	-0.000000	-0.000000
39.290000	1023.000000	0.000000	106.000000	57.000000	96.000000	-83.000000	-0.000000	-0.000000
39.020000	1023.000000	0.000000	104.000000	57.000000	137.000000	-27.000000	-0.000000	-0.000000
